[16/12/25 11:47:48] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(35.6), np.float64(25.5)) (Duration: 0.552s)
[16/12/25 11:48:45] | DEBUG | EXP:None | CALL move_z(55, allow_in_vial=True)
[16/12/25 11:48:46] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.510s)
[16/12/25 11:49:08] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:49:08] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.509s)
[16/12/25 11:49:57] | DEBUG | EXP:None | CALL go_to_vial('rack1', 11)
[16/12/25 11:49:57] | DEBUG | EXP:None | CALL move_z(45.0)
[16/12/25 11:49:58] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.527s)
[16/12/25 11:49:58] | DEBUG | EXP:None | CALL move_xy(np.float64(35.6), np.float64(182.55), module_name='rack1')
[16/12/25 11:49:58] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=35.6, Y=182.55. Result: No valid response received.' (Duration: 0.537s)
[16/12/25 11:49:58] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(35.6), np.float64(182.55)) (Duration: 1.066s)
[16/12/25 11:50:05] | DEBUG | EXP:None | CALL go_to_vial('rack1', 1)
[16/12/25 11:50:05] | DEBUG | EXP:None | CALL move_xy(np.float64(35.6), np.float64(8.05), module_name='rack1')
[16/12/25 11:50:06] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=35.6, Y=8.05. Result: Move XY: 2, Success' (Duration: 0.534s)
[16/12/25 11:50:06] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(35.6), np.float64(8.05)) (Duration: 0.535s)
[16/12/25 11:50:09] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:50:10] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.524s)
[16/12/25 11:51:06] | DEBUG | EXP:None | CALL go_to_vial('rack1', 2)
[16/12/25 11:51:06] | DEBUG | EXP:None | CALL move_z(45.0)
[16/12/25 11:51:06] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.531s)
[16/12/25 11:51:06] | DEBUG | EXP:None | CALL move_xy(np.float64(35.6), np.float64(25.5), module_name='rack1')
[16/12/25 11:51:07] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=35.6, Y=25.5. Result: Move XY: 2, Success' (Duration: 0.558s)
[16/12/25 11:51:07] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(35.6), np.float64(25.5)) (Duration: 1.091s)
[16/12/25 11:51:13] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:51:14] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.532s)
