[09/12/25 16:40:24] | DEBUG | EXP:None | CALL move_z(50, allow_in_vial=True)
[09/12/25 16:40:24] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 50. Result: Move Z: 2, Success' (Duration: 0.515s)
[09/12/25 17:02:40] | DEBUG | EXP:None | CALL home()
[09/12/25 17:02:40] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 17:02:40] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.520s)
[09/12/25 17:02:41] | DEBUG | EXP:None | CALL move_z(120)
[09/12/25 17:02:41] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 120. Result: No valid response received.' (Duration: 0.501s)
[09/12/25 17:02:41] | DEBUG | EXP:None | RETURN home -> None (Duration: 1.534s)
[09/12/25 17:11:26] | DEBUG | EXP:None | CALL home()
[09/12/25 17:11:26] | DEBUG | EXP:None | CALL move_z(120)
[09/12/25 17:11:27] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 120. Result: No valid response received.' (Duration: 0.555s)
[09/12/25 17:11:27] | DEBUG | EXP:None | RETURN home -> None (Duration: 1.065s)
[09/12/25 17:24:01] | DEBUG | EXP:None | CALL home()
[09/12/25 17:24:01] | DEBUG | EXP:None | CALL move_z(120)
[09/12/25 17:24:02] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 120. Result: No valid response received.' (Duration: 0.506s)
[09/12/25 17:24:02] | DEBUG | EXP:None | RETURN home -> None (Duration: 1.010s)
[09/12/25 17:26:15] | DEBUG | EXP:None | CALL move_z(25, allow_in_vial=True)
[09/12/25 17:26:16] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 25. Result: Move Z: 2, Success' (Duration: 0.546s)
[09/12/25 17:29:04] | DEBUG | EXP:None | CALL home()
[09/12/25 17:29:04] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 17:29:04] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.531s)
[09/12/25 17:29:05] | DEBUG | EXP:None | CALL move_z(120)
[09/12/25 17:29:06] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 120. Result: No valid response received.' (Duration: 0.559s)
[09/12/25 17:29:06] | DEBUG | EXP:None | RETURN home -> None (Duration: 1.639s)
[09/12/25 17:34:14] | DEBUG | EXP:None | CALL home()
[09/12/25 17:34:14] | DEBUG | EXP:None | CALL move_z(120)
[09/12/25 17:34:15] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 120. Result: No valid response received.' (Duration: 0.542s)
[09/12/25 17:34:15] | DEBUG | EXP:None | RETURN home -> None (Duration: 1.079s)
